Forex/外匯產品,,,,,"需要更多產品請聯繫客服或官網查詢
客服：https://t.me/iticksupport
官網：https://itick.org"
"交易時間 時區（America/New_York）
週日至週五：17:05 - 16:59",,,,,
symbol,name,description,type,region,
EURUSD,歐元/美元,Euro/US Dollar,forex,gb,
USDJPY,美元/日圓,US Dollar/Japanese Yen,forex,gb,
AUDCAD,澳元/加拿大元,Australian Dollar/Canadian Dollar,forex,gb,
AUDCHF,澳元/瑞士法郎,Australian Dollar/Swiss Franc,forex,gb,
AUDDKK,澳元/丹麥克朗,Australian Dollar/Danish Krone,forex,gb,
AUDJPY,澳元/日圓,Australian Dollar/Japanese Yen,forex,gb,
AUDNZD,澳元/紐西蘭元,Australian Dollar/New Zealand Dollar,forex,gb,
AUDSGD,澳元/新加坡元,AUDSGD,forex,gb,
AUDUSD,澳元/美元,Australian Dollar/US Dollar,forex,gb,
CADCHF,加拿大元/瑞士法郎,Canadian Dollar/Swiss Franc,forex,gb,
CADJPY,加拿大元/日圓,Canadian Dollar/Japanese Yen,forex,gb,
CHFJPY,瑞士法郎/日圓,Swiss Franc/Japanese Yen,forex,gb,
EURAUD,歐元/澳元,Euro/Australian Dollar,forex,gb,
EURCAD,歐元/加拿大元,Euro/Canadian Dollar,forex,gb,
EURCHF,歐元/瑞士法郎,Euro/Swiss Franc,forex,gb,
EURGBP,歐元/英鎊,Euro/British Pound,forex,gb,
EURJPY,歐元/日圓,Euro/Japanese Yen,forex,gb,
EURNOK,歐元/挪威克朗,EURNOK,forex,gb,
EURNZD,歐元/紐西蘭元,Euro/New Zealand Dollar,forex,gb,
EURPLN,歐元/波蘭茲羅提,EURPLN,forex,gb,
EURSEK,歐元/瑞典克朗,EURSEK,forex,gb,
GBPAUD,英鎊/澳元,British Pound/Australian Dollar,forex,gb,
GBPCAD,英鎊/加拿大元,British Pound/Canadian Dollar,forex,gb,
GBPCHF,英鎊/瑞士法郎,British Pound/Swiss Franc,forex,gb,
GBPJPY,英鎊/日圓,British Pound/Japanese Yen,forex,gb,
GBPNZD,英鎊/紐西蘭元,British Pound/New Zealand Dollar,forex,gb,
GBPUSD,英鎊/美元,British Pound/US Dollar,forex,gb,
NZDCAD,紐西蘭元/加拿大元,New Zealand Dollar/Canadian Dollar,forex,gb,
NZDCHF,紐西蘭元/瑞士法郎,NZDCHF,forex,gb,
NZDJPY,紐西蘭元/日圓,New Zealand Dollar/Japanese Yen,forex,gb,
NZDUSD,紐西蘭元/美元,New Zealand Dollar/US Dollar,forex,gb,
USDCAD,美元/加拿大元,US Dollar/Canadian Dollar,forex,gb,
USDCHF,美元/瑞士法郎,US Dollar/Swiss Franc,forex,gb,
USDCNH,美元/人民幣,US Dollar/Chinese Yuan,forex,gb,
USDHKD,美元/港元,US Dollar/Hong Kong Dollar,forex,gb,
USDMXN,美元/墨西哥比索,USDMXN,forex,gb,
USDNOK,美元/挪威克朗,USDNOK,forex,gb,
USDPLN,美元/波蘭茲羅提,USDPLN,forex,gb,
USDRUB,美元/俄羅斯盧布,U.S. DOLLAR / RUSSIAN RUBLE,forex,gb,
USDSEK,美元/瑞典克朗,USDSEK,forex,gb,
USDSGD,美元/新加坡元,USD/SGD,forex,gb,
USDTHB,美元/泰銖,USD/THB,forex,gb,
USDTRY,美元/土耳其里拉,USDTRY,forex,gb,
USDTWD,美元/新台幣,US Dollar// TAIWAN NEW DOLLAR,forex,gb,
USDNAD,美元/納米比亞元,US Dollar/Namibian Dollar,forex,gb,
CNYVND,人民幣/越南盾,Chinese Yuan/Vietnamese Dong,forex,gb,
CNYUSD,人民幣/美元,Chinese Yuan/US Dollar,forex,gb,
CNYJPY,人民幣/日圓,Chinese Yuan/Japanese Yen,forex,gb,
CNYEUR,人民幣/歐元,Chinese Yuan/Euro,forex,gb,
CNYAUD,人民幣/澳元,Chinese Yuan/Australian Dollar,forex,gb,
CNYPHP,人民幣/菲律賓比索,Chinese Yuan/Philippine Peso,forex,gb,
CNYHKD,人民幣/港幣,Chinese Yuan/Hong Kong Dollar,forex,gb,
CNYTWD,人民幣/新台幣,Chinese Yuan/Taiwan Dollar,forex,gb,
USDVND,美元/越南盾,US Dollar/Vietnamese Dong,forex,gb,
USDEUR,美元/歐元,US Dollar/Euro,forex,gb,
USDAUD,美元/澳元,US Dollar/Australian Dollar,forex,gb,
USDPHP,美元/菲律賓比索,US Dollar/Philippine Peso,forex,gb,
USDCNY,美元/人民幣,US Dollar/Chinese Yuan,forex,gb,
EURCZK,歐元兌捷克克朗,Euro/Czech Koruna,forex,gb,
EURDKK,歐元兌丹麥克朗,Euro/Danish Krone,forex,gb,
EURHKD,歐元兌港幣,Euro/Hong Kong Dollar,forex,gb,
EURHUF,歐元兌匈牙利福林,Euro/Hungarian Forint,forex,gb,
EURMXN,歐元兌墨西哥比索,Euro/Mexican Peso,forex,gb,
EURRUB,歐元兌俄羅斯盧布,Euro/Russian Ruble,forex,gb,
EURTRY,歐元兌土耳其里拉,Euro/Turkish Lira,forex,gb,
EURZAR,歐元兌南非蘭特,Euro/South African Rand,forex,gb,
EURSGD,歐元／新加坡元,EUR / Singapore Dollar,forex,gb,
NZDSGD,紐西蘭元兌新加坡元,NZD/Singapore Dollar,forex,gb,
USDCZK,美元兌捷克克朗,US Dollar/Czech Koruna,forex,gb,
USDDKK,美元兌丹麥克朗,US Dollar/Danish Krone,forex,gb,
USDHUF,美元兌匈牙利福林,US Dollar/Hungarian Forint,forex,gb,
USDZAR,美元兌南非蘭特,US Dollar/South African Rand,forex,gb,
GBPCZK,英鎊兌捷克克朗,British Pound/Czech Koruna,forex,gb,
GBPDKK,英鎊兌丹麥克朗,British Pound/Danish Krone,forex,gb,
GBPHUF,英鎊兌匈牙利福林,British Pound/Hungarian Forint,forex,gb,
